Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz Database Time Zone,Type,Source
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,,145.391998291,5282.0,10,U,Pacific/Port_Moresby,airport,OurAirports
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,,145.789001465,20.0,10,U,Pacific/Port_Moresby,airport,OurAirports
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,,144.29600524902344,5388.0,10,U,Pacific/Port_Moresby,airport,OurAirports
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,,146.725977,239.0,10,U,Pacific/Port_Moresby,airport,OurAirports
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,,147.22000122070312,146.0,10,U,Pacific/Port_Moresby,airport,OurAirports
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,,143.669006348,19.0,10,U,Pacific/Port_Moresby,airport,OurAirports
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,,112.0,-3,E,America/Godthab,airport,OurAirports
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,,283.0,-3,E,America/Godthab,airport,OurAirports
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,,165.0,-3,E,America/Godthab,airport,OurAirports
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,,251.0,-4,E,America/Thule,airport,OurAirports
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210938,,6.0,0,N,Atlantic/Reykjavik,airport,OurAirports
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,,76.0,0,N,Atlantic/Reykjavik,airport,OurAirports
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,,24.0,0,N,Atlantic/Reykjavik,airport,OurAirports
14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,,48.0,0,N,Atlantic/Reykjavik,airport,OurAirports
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,,8.0,0,N,Atlantic/Reykjavik,airport,OurAirports
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,,171.0,0,N,Atlantic/Reykjavik,airport,OurAirports
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,,11.0,0,N,Atlantic/Reykjavik,airport,OurAirports
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,,48.0,0,N,Atlantic/Reykjavik,airport,OurAirports
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,,10.0,0,N,Atlantic/Reykjavik,airport,OurAirports
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,,326.0,0,N,Atlantic/Reykjavik,airport,OurAirports
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,,630.0,-5,A,America/Toronto,airport,OurAirports
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,\N,CYAV,50.0564002991,,760.0,-6,A,America/Winnipeg,airport,OurAirports
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,CYAW,44.639702,,144.0,-4,A,America/Halifax,airport,OurAirports
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,,108.0,-3.5,A,America/St_Johns,airport,OurAirports
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,,80.0,-8,A,America/Vancouver,airport,OurAirports
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,,56.0,-7,A,America/Edmonton,airport,OurAirports
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,,71.0,-5,A,America/Toronto,airport,OurAirports
28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,,522.0,-5,A,America/Toronto,airport,OurAirports
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889678960001,,59.0,-6,A,America/Winnipeg,airport,OurAirports
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.950801849365234,,346.0,-8,A,America/Vancouver,airport,OurAirports
31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,,1343.0,-6,A,America/Winnipeg,airport,OurAirports
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,,90.0,-7,A,America/Edmonton,airport,OurAirports
33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.054970224899996,,92.0,-8,A,America/Vancouver,airport,OurAirports
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.2963981628,,1624.0,-8,A,America/Vancouver,airport,OurAirports
35,Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,,108.0,-4,A,America/Halifax,airport,OurAirports
36,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,,132.0,-4,A,America/Halifax,airport,OurAirports
37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.816704,,74.0,-7,A,America/Edmonton,airport,OurAirports
38,Coronation Airport,Coronation,Canada,YCT,CYCT,52.0750007629,,2595.0,-7,A,America/Edmonton,airport,OurAirports
39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,,32.0,-8,A,America/Vancouver,airport,OurAirports
40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,,87.0,-5,A,America/Toronto,airport,OurAirports
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,,210.0,-5,A,America/Coral_Harbour,airport,OurAirports
42,Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309844970703,,1215.0,-8,A,America/Vancouver,airport,OurAirports
43,Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110137939453,,2647.0,-8,A,America/Vancouver,airport,OurAirports
44,Princeton Airport,Princeton,Canada,\N,CYDC,49.4681015015,,2298.0,-8,A,America/Vancouver,airport,OurAirports
45,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017089844,,72.0,-3.5,A,America/St_Johns,airport,OurAirports
46,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,,2600.0,-8,A,America/Vancouver,airport,OurAirports
47,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.100799560546875,,999.0,-6,A,America/Winnipeg,airport,OurAirports
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.7422981262207,,2148.0,-7,A,America/Dawson_Creek,airport,OurAirports
49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.309700012200004,,2373.0,-7,A,America/Edmonton,airport,OurAirports
50,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.0942001343,,32.0,-6,A,America/Winnipeg,airport,OurAirports
51,Estevan Airport,Estevan,Canada,YEN,CYEN,49.2103004456,,1905.0,-6,N,America/Regina,airport,OurAirports
52,Edson Airport,Edson,Canada,YET,CYET,53.578899383499994,,3043.0,-7,A,America/Edmonton,airport,OurAirports
53,Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,,256.0,-6,A,America/Winnipeg,airport,OurAirports
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419921880001,,224.0,-7,A,America/Edmonton,airport,OurAirports
55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,,110.0,-5,A,America/Toronto,airport,OurAirports
56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.868900299072266,,68.0,-4,A,America/Halifax,airport,OurAirports
57,Forestville Airport,Forestville,Canada,YFE,CYFE,48.74610137939453,,293.0,-5,A,America/Toronto,airport,OurAirports
58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.6781005859375,,997.0,-6,A,America/Winnipeg,airport,OurAirports
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,,526.0,-7,A,America/Edmonton,airport,OurAirports
60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.76020050048828,,555.0,-7,A,America/Edmonton,airport,OurAirports
61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529983520508,,305.0,-5,A,America/Toronto,airport,OurAirports
62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.625301361083984,,639.0,-5,A,America/Toronto,airport,OurAirports
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.7752990723,,112.0,-5,A,America/Toronto,airport,OurAirports
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830123901367,,1144.0,-5,A,America/Toronto,airport,OurAirports
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169067383,,35.0,-5,A,America/Toronto,airport,OurAirports
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,,1175.0,-6,N,America/Regina,airport,OurAirports
67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.831699,,1354.0,-6,A,America/Winnipeg,airport,OurAirports
68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212402344,,117.0,-7,A,America/Edmonton,airport,OurAirports
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,,152.0,-7,A,America/Edmonton,airport,OurAirports
70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.173599243199995,,780.0,-5,A,America/Toronto,airport,OurAirports
71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.5175018311,,90.0,-5,A,America/Toronto,airport,OurAirports
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,,541.0,-7,A,America/Edmonton,airport,OurAirports
